Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 10:30:00+05:30,0.098297506570816,0.0987248633164116,0.098297506570816,0.098297506570816,469033600,0.0,0.0
1980-12-15 10:30:00+05:30,0.0935966137512984,0.0935966137512984,0.0931692570447921,0.0931692570447921,175884800,0.0,0.0
1980-12-16 10:30:00+05:30,0.0867582045150251,0.0867582045150251,0.0863308534026146,0.0863308534026146,105728000,0.0,0.0
1980-12-17 10:30:00+05:30,0.0884676203131675,0.0888949771314255,0.0884676203131675,0.0884676203131675,86441600,0.0,0.0
1980-12-18 10:30:00+05:30,0.0910324901342392,0.0914598411322606,0.0910324901342392,0.0910324901342392,73449600,0.0,0.0
1980-12-19 10:30:00+05:30,0.0965880900621414,0.0970154468035841,0.0965880900621414,0.0965880900621414,48630400,0.0,0.0
1980-12-22 10:30:00+05:30,0.1012889742851257,0.1017170955789706,0.1012889742851257,0.1012889742851257,37363200,0.0,0.0
1980-12-23 10:30:00+05:30,0.1055633053183555,0.1059906621250687,0.1055633053183555,0.1055633053183555,46950400,0.0,0.0
1980-12-24 10:30:00+05:30,0.1111189201474189,0.1115462769948173,0.1111189201474189,0.1111189201474189,48003200,0.0,0.0
1980-12-26 10:30:00+05:30,0.121376134455204,0.121803491140003,0.121376134455204,0.121376134455204,55574400,0.0,0.0
1980-12-29 10:30:00+05:30,0.1230855509638786,0.1235129076527808,0.1230855509638786,0.1230855509638786,93161600,0.0,0.0
1980-12-30 10:30:00+05:30,0.1205214435027081,0.1205214435027081,0.1200940981507301,0.1200940981507301,68880000,0.0,0.0
1980-12-31 10:30:00+05:30,0.1171026518028225,0.1171026518028225,0.1166752949357032,0.1166752949357032,35750400,0.0,0.0
1981-01-02 10:30:00+05:30,0.1179572716355323,0.1188119847720577,0.1179572716355323,0.1179572716355323,21660800,0.0,0.0
1981-01-05 10:30:00+05:30,0.1158205368672299,0.1158205368672299,0.115393191576004,0.115393191576004,35728000,0.0,0.0
1981-01-06 10:30:00+05:30,0.1106916061588519,0.1106916061588519,0.1102642491459846,0.1102642491459846,45158400,0.0,0.0
1981-01-07 10:30:00+05:30,0.1059906621250687,0.1059906621250687,0.1055633053183555,0.1055633053183555,55686400,0.0,0.0
1981-01-08 10:30:00+05:30,0.1038538239277228,0.1038538239277228,0.1034264788031578,0.1034264788031578,39827200,0.0,0.0
1981-01-09 10:30:00+05:30,0.1089821010828018,0.1094094577488772,0.1089821010828018,0.1089821010828018,21504000,0.0,0.0
1981-01-12 10:30:00+05:30,0.1089820496413908,0.1089820496413908,0.1081273481249809,0.1081273481249809,23699200,0.0,0.0
1981-01-13 10:30:00+05:30,0.1047085735458382,0.1047085735458382,0.1042812168598175,0.1042812168598175,23049600,0.0,0.0
1981-01-14 10:30:00+05:30,0.1047085672616958,0.1051359239220685,0.1047085672616958,0.1047085672616958,14291200,0.0,0.0
1981-01-15 10:30:00+05:30,0.1068454012274742,0.1077001036324869,0.1068454012274742,0.1068454012274742,14067200,0.0,0.0
1981-01-16 10:30:00+05:30,0.1064179825786366,0.1064179825786366,0.1059906259179115,0.1059906259179115,13395200,0.0,0.0
1981-01-19 10:30:00+05:30,0.1124009042978286,0.1128282608601494,0.1124009042978286,0.1124009042978286,41574400,0.0,0.0
1981-01-20 10:30:00+05:30,0.1094094577488772,0.1094094577488772,0.1089821010828018,0.1089821010828018,30083200,0.0,0.0
1981-01-21 10:30:00+05:30,0.1111189201474189,0.1119736224299036,0.1111189201474189,0.1111189201474189,15904000,0.0,0.0
1981-01-22 10:30:00+05:30,0.1124009042978286,0.1132556174224703,0.1124009042978286,0.1124009042978286,35548800,0.0,0.0
1981-01-23 10:30:00+05:30,0.1124009403978484,0.1128282970974242,0.1119735836982727,0.1119735836982727,11222400,0.0,0.0
1981-01-26 10:30:00+05:30,0.1106916061588519,0.1106916061588519,0.1102642491459846,0.1102642491459846,24640000,0.0,0.0
1981-01-27 10:30:00+05:30,0.1102641683731567,0.1102641683731567,0.1094094663858413,0.1094094663858413,23699200,0.0,0.0
1981-01-28 10:30:00+05:30,0.1064179825786366,0.1064179825786366,0.1059906259179115,0.1059906259179115,28156800,0.0,0.0
1981-01-29 10:30:00+05:30,0.1025718665106746,0.1025718665106746,0.1021445095539093,0.1021445095539093,43904000,0.0,0.0
1981-01-30 10:30:00+05:30,0.0974428035450268,0.0974428035450268,0.0965880900621414,0.0965880900621414,46188800,0.0,0.0
1981-02-02 10:30:00+05:30,0.0914598411322606,0.0914598411322606,0.0910324901342392,0.0910324901342392,23766400,0.0,0.0
1981-02-03 10:30:00+05:30,0.0944513231515884,0.0948786741596026,0.0944513231515884,0.0944513231515884,19152000,0.0,0.0
1981-02-04 10:30:00+05:30,0.097870148718357,0.098297493996979,0.097870148718357,0.097870148718357,27865600,0.0,0.0
1981-02-05 10:30:00+05:30,0.097870148718357,0.0987248506879087,0.097870148718357,0.097870148718357,7929600,0.0,0.0
1981-02-06 10:30:00+05:30,0.098297506570816,0.0987248633164116,0.098297506570816,0.098297506570816,13865600,0.0,0.0
1981-02-09 10:30:00+05:30,0.0940239647516506,0.0940239647516506,0.0931692570447921,0.0931692570447921,16755200,0.0,0.0
1981-02-10 10:30:00+05:30,0.0931692570447921,0.0935966137512984,0.0931692570447921,0.0931692570447921,18345600,0.0,0.0
1981-02-11 10:30:00+05:30,0.0906051478470843,0.0906051478470843,0.090177796781063,0.090177796781063,13843200,0.0,0.0
1981-02-12 10:30:00+05:30,0.0897504275532938,0.0897504275532938,0.089322306215763,0.089322306215763,14560000,0.0,0.0
1981-02-13 10:30:00+05:30,0.0880402244493725,0.0880402244493725,0.0871855169534683,0.0871855169534683,11155200,0.0,0.0
1981-02-17 10:30:00+05:30,0.089322306215763,0.0897504275532938,0.089322306215763,0.089322306215763,12275200,0.0,0.0
1981-02-18 10:30:00+05:30,0.0931692570447921,0.0940239647516506,0.0931692570447921,0.0931692570447921,19241600,0.0,0.0
