Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-11 09:30:00+05:30,397.6564774172096,399.5474364579457,395.1942692502341,398.4049682617188,16120800,0.0,0.0
2024-03-12 09:30:00+05:30,401.458169860924,409.2880049750951,400.6407298572385,409.00238037109375,22457000,0.0,0.0
2024-03-13 09:30:00+05:30,411.7797539482637,411.8585313952043,405.2302853750109,408.8251037597656,17115900,0.0,0.0
2024-03-14 09:30:00+05:30,413.88738417925487,421.3528170705886,411.6713965625505,418.7921142578125,34157300,0.0,0.0
2024-03-15 09:30:00+05:30,412.9517323671829,416.2116937258995,406.54999083820695,410.1251220703125,45079900,0.0,0.0
2024-03-18 09:30:00+05:30,407.98793648172665,414.3699915467621,407.5250400950554,411.0115356445313,20106000,0.0,0.0
2024-03-19 09:30:00+05:30,411.5138040831413,415.2957826626085,409.26827120822617,415.0397033691406,19837900,0.0,0.0
2024-03-20 09:30:00+05:30,415.6207570050016,419.5208864985866,414.3010169757645,418.8019409179688,17860100,0.0,0.0
2024-03-21 09:30:00+05:30,423.3324019440985,424.30745690999566,420.70278020104655,422.8793640136719,21296200,0.0,0.0
2024-03-22 09:30:00+05:30,423.2043902779049,423.36194516542855,419.62925888508494,422.2588806152344,17648500,0.0,0.0
2024-03-25 09:30:00+05:30,418.81180070101897,420.9490108695968,415.23666920718586,416.4677734375,18060500,0.0,0.0
2024-03-26 09:30:00+05:30,419.17616089060704,419.5504213482545,414.98057853086766,415.2760314941406,16725600,0.0,0.0
2024-03-27 09:30:00+05:30,418.0238650031992,418.0337234540762,412.67595596490696,415.0593566894531,16705000,0.0,0.0
2024-03-28 09:30:00+05:30,414.5964697982947,415.4927172172239,412.7842881144858,414.360107421875,21871200,0.0,0.0
2024-04-01 09:30:00+05:30,417.5412936572551,421.42173632509054,415.8374347010724,418.1519165039063,16316000,0.0,0.0
2024-04-02 09:30:00+05:30,413.7593326884334,415.9950371448598,411.52365828826186,415.0692443847656,17912000,0.0,0.0
2024-04-03 09:30:00+05:30,413.3850905644336,416.8617275140834,412.7547508067756,414.0942077636719,16502300,0.0,0.0
2024-04-04 09:30:00+05:30,418.56558637813976,422.1899801314236,411.2577683846088,411.5630798339844,19370900,0.0,0.0
2024-04-05 09:30:00+05:30,413.6608680769513,420.0626098925823,411.9964128003869,419.0875549316406,16554800,0.0,0.0
2024-04-08 09:30:00+05:30,418.7428494922185,420.8209388461148,416.9010924581036,418.1716003417969,14272400,0.0,0.0
2024-04-09 09:30:00+05:30,419.9936139789009,421.2739501766581,415.2464695179833,419.8360290527344,12496900,0.0,0.0
2024-04-10 09:30:00+05:30,415.80789248455,417.6200741918698,413.3555426286193,416.8617248535156,16216600,0.0,0.0
2024-04-11 09:30:00+05:30,419.38303118441615,422.8793550200159,415.9753131864396,421.4611206054688,17966400,0.0,0.0
2024-04-12 09:30:00+05:30,417.6397710155257,418.75269400595073,413.4244714952131,415.5222778320313,19253800,0.0,0.0
2024-04-15 09:30:00+05:30,420.15122525352587,420.3679007835616,407.18029886088704,407.38714599609375,20273500,0.0,0.0
