Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-04 09:15:00+05:30,2625.0,2634.89990234375,2605.699951171875,2615.800048828125,0,0.0,0.0
2026-03-04 09:20:00+05:30,2616.699951171875,2627.199951171875,2615.39990234375,2615.60009765625,104050,0.0,0.0
2026-03-04 09:25:00+05:30,2615.0,2621.0,2611.10009765625,2616.300048828125,67709,0.0,0.0
2026-03-04 09:30:00+05:30,2616.60009765625,2616.60009765625,2608.199951171875,2608.199951171875,49326,0.0,0.0
2026-03-04 09:35:00+05:30,2610.0,2618.5,2609.39990234375,2614.0,53102,0.0,0.0
2026-03-04 09:40:00+05:30,2612.5,2620.0,2612.0,2620.0,58470,0.0,0.0
2026-03-04 09:45:00+05:30,2620.0,2627.0,2617.300048828125,2617.300048828125,55985,0.0,0.0
2026-03-04 09:50:00+05:30,2616.0,2616.0,2607.60009765625,2610.5,40169,0.0,0.0
2026-03-04 09:55:00+05:30,2611.0,2611.0,2602.39990234375,2603.300048828125,49272,0.0,0.0
2026-03-04 10:00:00+05:30,2603.300048828125,2604.5,2598.60009765625,2600.39990234375,52922,0.0,0.0
2026-03-04 10:05:00+05:30,2601.0,2604.0,2595.300048828125,2599.60009765625,44629,0.0,0.0
2026-03-04 10:10:00+05:30,2599.60009765625,2600.5,2595.39990234375,2600.5,25644,0.0,0.0
2026-03-04 10:15:00+05:30,2602.0,2602.0,2597.89990234375,2598.800048828125,25390,0.0,0.0
2026-03-04 10:20:00+05:30,2598.5,2603.0,2595.300048828125,2600.0,33645,0.0,0.0
2026-03-04 10:25:00+05:30,2599.39990234375,2600.199951171875,2596.10009765625,2599.300048828125,23818,0.0,0.0
2026-03-04 10:30:00+05:30,2599.0,2599.0,2593.10009765625,2593.39990234375,40712,0.0,0.0
2026-03-04 10:35:00+05:30,2593.39990234375,2596.199951171875,2591.10009765625,2595.10009765625,24283,0.0,0.0
2026-03-04 10:40:00+05:30,2595.10009765625,2595.5,2592.199951171875,2592.199951171875,14925,0.0,0.0
2026-03-04 10:45:00+05:30,2592.60009765625,2596.800048828125,2592.199951171875,2595.0,17048,0.0,0.0
2026-03-04 10:50:00+05:30,2594.89990234375,2598.199951171875,2593.10009765625,2595.5,15782,0.0,0.0
2026-03-04 10:55:00+05:30,2595.5,2595.89990234375,2592.800048828125,2595.89990234375,19516,0.0,0.0
2026-03-04 11:00:00+05:30,2597.5,2599.0,2596.10009765625,2596.89990234375,20820,0.0,0.0
2026-03-04 11:05:00+05:30,2597.10009765625,2601.0,2597.0,2599.60009765625,32269,0.0,0.0
2026-03-04 11:10:00+05:30,2599.60009765625,2602.10009765625,2598.199951171875,2598.699951171875,15964,0.0,0.0
2026-03-04 11:15:00+05:30,2598.699951171875,2599.60009765625,2595.39990234375,2596.0,23770,0.0,0.0
2026-03-04 11:20:00+05:30,2595.699951171875,2598.60009765625,2593.89990234375,2595.10009765625,32185,0.0,0.0
2026-03-04 11:25:00+05:30,2595.10009765625,2595.10009765625,2587.199951171875,2591.0,78335,0.0,0.0
2026-03-04 11:30:00+05:30,2590.0,2592.800048828125,2590.0,2591.89990234375,27518,0.0,0.0
2026-03-04 11:35:00+05:30,2592.10009765625,2594.89990234375,2591.5,2592.199951171875,15131,0.0,0.0
2026-03-04 11:40:00+05:30,2591.0,2594.10009765625,2591.0,2592.0,11551,0.0,0.0
2026-03-04 11:45:00+05:30,2592.0,2593.800048828125,2591.39990234375,2592.300048828125,11860,0.0,0.0
2026-03-04 11:50:00+05:30,2592.0,2597.300048828125,2592.0,2594.0,14432,0.0,0.0
2026-03-04 11:55:00+05:30,2593.5,2595.0,2592.5,2593.0,12538,0.0,0.0
2026-03-04 12:00:00+05:30,2593.199951171875,2599.0,2593.199951171875,2598.800048828125,18514,0.0,0.0
2026-03-04 12:05:00+05:30,2597.39990234375,2598.5,2595.300048828125,2597.39990234375,9743,0.0,0.0
2026-03-04 12:10:00+05:30,2597.39990234375,2598.5,2595.199951171875,2595.199951171875,9937,0.0,0.0
2026-03-04 12:15:00+05:30,2595.5,2596.0,2593.300048828125,2594.10009765625,10028,0.0,0.0
2026-03-04 12:20:00+05:30,2594.10009765625,2595.699951171875,2592.0,2592.0,10397,0.0,0.0
2026-03-04 12:25:00+05:30,2592.0,2593.0,2591.199951171875,2592.5,17298,0.0,0.0
2026-03-04 12:30:00+05:30,2592.5,2592.800048828125,2591.10009765625,2591.5,6614,0.0,0.0
2026-03-04 12:35:00+05:30,2591.5,2592.199951171875,2590.699951171875,2590.800048828125,12270,0.0,0.0
2026-03-04 12:40:00+05:30,2590.800048828125,2590.800048828125,2586.0,2588.0,28496,0.0,0.0
2026-03-04 12:45:00+05:30,2587.800048828125,2590.800048828125,2587.800048828125,2590.0,17155,0.0,0.0
2026-03-04 12:50:00+05:30,2590.0,2591.800048828125,2589.800048828125,2590.800048828125,11209,0.0,0.0
2026-03-04 12:55:00+05:30,2591.10009765625,2593.800048828125,2591.10009765625,2591.699951171875,8350,0.0,0.0
2026-03-04 13:00:00+05:30,2591.5,2592.5,2590.300048828125,2590.60009765625,12863,0.0,0.0
2026-03-04 13:05:00+05:30,2590.60009765625,2591.39990234375,2589.699951171875,2591.10009765625,20131,0.0,0.0
2026-03-04 13:10:00+05:30,2591.199951171875,2594.0,2591.10009765625,2594.0,13327,0.0,0.0
2026-03-04 13:15:00+05:30,2594.199951171875,2594.699951171875,2592.0,2592.10009765625,14299,0.0,0.0
2026-03-04 13:20:00+05:30,2591.89990234375,2592.89990234375,2590.5,2591.800048828125,13117,0.0,0.0
2026-03-04 13:25:00+05:30,2591.800048828125,2594.699951171875,2589.60009765625,2589.60009765625,25131,0.0,0.0
2026-03-04 13:30:00+05:30,2589.60009765625,2592.199951171875,2588.0,2588.10009765625,18751,0.0,0.0
2026-03-04 13:35:00+05:30,2587.800048828125,2587.800048828125,2581.10009765625,2585.199951171875,69230,0.0,0.0
2026-03-04 13:40:00+05:30,2585.300048828125,2586.89990234375,2583.5,2586.5,24211,0.0,0.0
2026-03-04 13:45:00+05:30,2586.800048828125,2587.89990234375,2582.199951171875,2583.10009765625,20731,0.0,0.0
2026-03-04 13:50:00+05:30,2583.0,2583.89990234375,2580.699951171875,2583.39990234375,75975,0.0,0.0
2026-03-04 13:55:00+05:30,2583.39990234375,2584.89990234375,2582.39990234375,2584.60009765625,114607,0.0,0.0
2026-03-04 14:00:00+05:30,2584.60009765625,2585.89990234375,2583.60009765625,2585.300048828125,15839,0.0,0.0
2026-03-04 14:05:00+05:30,2585.199951171875,2587.199951171875,2584.0,2584.800048828125,258859,0.0,0.0
2026-03-04 14:10:00+05:30,2584.800048828125,2593.699951171875,2584.10009765625,2593.5,34322,0.0,0.0
2026-03-04 14:15:00+05:30,2593.800048828125,2596.300048828125,2590.5,2594.800048828125,27514,0.0,0.0
2026-03-04 14:20:00+05:30,2594.89990234375,2595.0,2590.5,2590.5,50223,0.0,0.0
2026-03-04 14:25:00+05:30,2590.60009765625,2592.0,2587.0,2587.0,29366,0.0,0.0
2026-03-04 14:30:00+05:30,2587.300048828125,2591.39990234375,2586.300048828125,2587.800048828125,34584,0.0,0.0
2026-03-04 14:35:00+05:30,2588.0,2591.0,2585.800048828125,2587.60009765625,42279,0.0,0.0
2026-03-04 14:40:00+05:30,2589.300048828125,2590.39990234375,2587.10009765625,2589.0,19485,0.0,0.0
2026-03-04 14:45:00+05:30,2589.10009765625,2591.0,2585.10009765625,2589.0,32166,0.0,0.0
2026-03-04 14:50:00+05:30,2588.89990234375,2596.199951171875,2588.0,2595.10009765625,71996,0.0,0.0
2026-03-04 14:55:00+05:30,2595.10009765625,2595.10009765625,2590.300048828125,2592.199951171875,81771,0.0,0.0
2026-03-04 15:00:00+05:30,2592.800048828125,2595.0,2589.5,2592.10009765625,157294,0.0,0.0
2026-03-04 15:05:00+05:30,2592.10009765625,2593.5,2588.0,2588.199951171875,67191,0.0,0.0
2026-03-04 15:10:00+05:30,2588.0,2588.0,2585.10009765625,2586.89990234375,75425,0.0,0.0
2026-03-04 15:15:00+05:30,2586.300048828125,2588.699951171875,2585.300048828125,2586.199951171875,65761,0.0,0.0
2026-03-04 15:20:00+05:30,2586.300048828125,2586.300048828125,2581.89990234375,2585.0,126051,0.0,0.0
2026-03-04 15:25:00+05:30,2584.699951171875,2586.89990234375,2582.199951171875,2583.0,73659,0.0,0.0
2026-03-05 09:15:00+05:30,2599.0,2609.5,2585.199951171875,2585.199951171875,0,0.0,0.0
2026-03-05 09:20:00+05:30,2585.699951171875,2587.10009765625,2574.39990234375,2576.10009765625,75501,0.0,0.0
2026-03-05 09:25:00+05:30,2575.5,2578.5,2571.10009765625,2572.60009765625,44278,0.0,0.0
2026-03-05 09:30:00+05:30,2572.800048828125,2574.10009765625,2568.10009765625,2568.10009765625,81057,0.0,0.0
2026-03-05 09:35:00+05:30,2568.300048828125,2572.89990234375,2560.60009765625,2561.800048828125,75966,0.0,0.0
2026-03-05 09:40:00+05:30,2561.39990234375,2567.300048828125,2561.0,2567.300048828125,45939,0.0,0.0
2026-03-05 09:45:00+05:30,2567.89990234375,2570.0,2565.199951171875,2566.89990234375,38420,0.0,0.0
2026-03-05 09:50:00+05:30,2566.699951171875,2570.0,2565.699951171875,2569.699951171875,26482,0.0,0.0
2026-03-05 09:55:00+05:30,2569.699951171875,2571.0,2567.89990234375,2568.0,44162,0.0,0.0
2026-03-05 10:00:00+05:30,2567.300048828125,2569.0,2565.10009765625,2565.10009765625,20711,0.0,0.0
2026-03-05 10:05:00+05:30,2564.39990234375,2564.39990234375,2561.0,2562.800048828125,26179,0.0,0.0
2026-03-05 10:10:00+05:30,2562.5,2562.5,2559.199951171875,2559.39990234375,56506,0.0,0.0
2026-03-05 10:15:00+05:30,2559.39990234375,2560.0,2558.10009765625,2559.0,19426,0.0,0.0
2026-03-05 10:20:00+05:30,2559.0,2559.800048828125,2557.0,2557.89990234375,32505,0.0,0.0
2026-03-05 10:25:00+05:30,2557.89990234375,2557.89990234375,2553.60009765625,2556.39990234375,41391,0.0,0.0
2026-03-05 10:30:00+05:30,2556.10009765625,2556.10009765625,2553.0,2553.60009765625,21156,0.0,0.0
2026-03-05 10:35:00+05:30,2555.0,2558.89990234375,2554.39990234375,2556.0,22453,0.0,0.0
2026-03-05 10:40:00+05:30,2556.0,2557.89990234375,2555.39990234375,2556.5,13505,0.0,0.0
2026-03-05 10:45:00+05:30,2556.5,2558.39990234375,2554.39990234375,2554.699951171875,23051,0.0,0.0
2026-03-05 10:50:00+05:30,2554.699951171875,2555.0,2552.10009765625,2552.800048828125,22905,0.0,0.0
2026-03-05 10:55:00+05:30,2554.300048828125,2555.10009765625,2551.300048828125,2552.0,23200,0.0,0.0
2026-03-05 11:00:00+05:30,2551.800048828125,2552.199951171875,2550.39990234375,2550.800048828125,22531,0.0,0.0
2026-03-05 11:05:00+05:30,2550.800048828125,2555.0,2550.60009765625,2554.300048828125,17717,0.0,0.0
2026-03-05 11:10:00+05:30,2554.300048828125,2554.89990234375,2552.89990234375,2553.39990234375,16990,0.0,0.0
2026-03-05 11:15:00+05:30,2552.89990234375,2555.0,2552.10009765625,2552.199951171875,13417,0.0,0.0
2026-03-05 11:20:00+05:30,2552.60009765625,2552.800048828125,2550.199951171875,2550.60009765625,23623,0.0,0.0
2026-03-05 11:25:00+05:30,2550.5,2551.0,2547.5,2548.10009765625,51697,0.0,0.0
2026-03-05 11:30:00+05:30,2548.10009765625,2551.0,2547.5,2550.300048828125,14314,0.0,0.0
2026-03-05 11:35:00+05:30,2550.300048828125,2550.300048828125,2546.60009765625,2547.800048828125,23111,0.0,0.0
2026-03-05 11:40:00+05:30,2547.800048828125,2550.0,2547.39990234375,2548.800048828125,12546,0.0,0.0
2026-03-05 11:45:00+05:30,2548.800048828125,2550.89990234375,2547.800048828125,2549.800048828125,14530,0.0,0.0
2026-03-05 11:50:00+05:30,2549.800048828125,2556.89990234375,2547.39990234375,2556.89990234375,53526,0.0,0.0
2026-03-05 11:55:00+05:30,2555.699951171875,2556.0,2553.0,2554.300048828125,17054,0.0,0.0
2026-03-05 12:00:00+05:30,2554.60009765625,2555.89990234375,2552.800048828125,2553.5,29768,0.0,0.0
2026-03-05 12:05:00+05:30,2553.60009765625,2555.199951171875,2552.0,2554.699951171875,45809,0.0,0.0
2026-03-05 12:10:00+05:30,2554.0,2561.5,2554.0,2561.5,47221,0.0,0.0
2026-03-05 12:15:00+05:30,2560.10009765625,2561.0,2557.0,2557.5,22453,0.0,0.0
2026-03-05 12:20:00+05:30,2558.10009765625,2564.5,2558.10009765625,2563.0,38026,0.0,0.0
2026-03-05 12:25:00+05:30,2562.89990234375,2566.89990234375,2562.89990234375,2566.199951171875,46464,0.0,0.0
2026-03-05 12:30:00+05:30,2566.199951171875,2568.0,2564.0,2564.60009765625,21955,0.0,0.0
2026-03-05 12:35:00+05:30,2564.60009765625,2567.89990234375,2563.699951171875,2566.300048828125,25574,0.0,0.0
2026-03-05 12:40:00+05:30,2566.39990234375,2569.800048828125,2564.10009765625,2565.300048828125,24757,0.0,0.0
2026-03-05 12:45:00+05:30,2565.300048828125,2565.300048828125,2559.89990234375,2560.89990234375,35321,0.0,0.0
2026-03-05 12:50:00+05:30,2560.89990234375,2565.0,2559.699951171875,2563.699951171875,30254,0.0,0.0
2026-03-05 12:55:00+05:30,2563.699951171875,2566.199951171875,2563.0,2565.300048828125,27449,0.0,0.0
2026-03-05 13:00:00+05:30,2565.300048828125,2566.800048828125,2562.0,2562.0,19658,0.0,0.0
2026-03-05 13:05:00+05:30,2561.800048828125,2564.0,2561.300048828125,2563.300048828125,12272,0.0,0.0
2026-03-05 13:10:00+05:30,2563.300048828125,2565.0,2561.300048828125,2563.5,11233,0.0,0.0
2026-03-05 13:15:00+05:30,2563.60009765625,2563.89990234375,2561.199951171875,2561.5,8624,0.0,0.0
2026-03-05 13:20:00+05:30,2562.60009765625,2565.0,2560.39990234375,2562.199951171875,18088,0.0,0.0
2026-03-05 13:25:00+05:30,2562.800048828125,2565.0,2560.60009765625,2564.89990234375,12152,0.0,0.0
2026-03-05 13:30:00+05:30,2564.60009765625,2569.699951171875,2562.0,2563.699951171875,57839,0.0,0.0
2026-03-05 13:35:00+05:30,2563.0,2563.699951171875,2559.0,2562.800048828125,24243,0.0,0.0
2026-03-05 13:40:00+05:30,2562.800048828125,2564.300048828125,2561.10009765625,2563.199951171875,21787,0.0,0.0
2026-03-05 13:45:00+05:30,2563.199951171875,2564.0,2561.10009765625,2561.10009765625,11917,0.0,0.0
2026-03-05 13:50:00+05:30,2561.60009765625,2561.60009765625,2557.300048828125,2558.60009765625,22771,0.0,0.0
2026-03-05 13:55:00+05:30,2558.60009765625,2558.60009765625,2555.199951171875,2555.300048828125,19704,0.0,0.0
2026-03-05 14:00:00+05:30,2555.699951171875,2557.300048828125,2553.5,2557.199951171875,22444,0.0,0.0
2026-03-05 14:05:00+05:30,2556.60009765625,2558.5,2555.199951171875,2555.5,19618,0.0,0.0
2026-03-05 14:10:00+05:30,2555.699951171875,2556.199951171875,2553.800048828125,2554.300048828125,17733,0.0,0.0
2026-03-05 14:15:00+05:30,2554.39990234375,2557.300048828125,2552.800048828125,2553.199951171875,26147,0.0,0.0
2026-03-05 14:20:00+05:30,2553.199951171875,2557.60009765625,2553.199951171875,2556.300048828125,40760,0.0,0.0
2026-03-05 14:25:00+05:30,2556.300048828125,2560.60009765625,2555.699951171875,2558.699951171875,32340,0.0,0.0
2026-03-05 14:30:00+05:30,2558.699951171875,2559.39990234375,2556.10009765625,2557.300048828125,56777,0.0,0.0
